Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
106,Christian McCaffrey,CAR,RB,24,2,2,0,0,0,0,0,41,156,3.8,4,9,7,67,9.57,0,0,0,4,,,46,53.3,56.3,49.8,,30,
107,DJ Chark,JAX,WR,24,5,5,0,0,0,0,0,0,0,,0,34,25,265,10.6,3,0,0,3,,,45,69.5,72.5,57,,32,
108,Austin Ekeler,LAC,RB,25,4,4,0,0,0,0,0,49,248,5.06,1,17,17,144,8.47,0,0,0,1,,,45,62.2,68.2,53.7,,32,
109,Adrian Peterson,DET,RB,35,5,3,0,0,0,0,0,69,285,4.13,2,7,5,49,9.8,0,0,0,2,,,45,50.4,53.4,47.9,,31,
110,Marquise Brown,BAL,WR,23,6,5,0,0,0,0,0,1,1,1,0,42,26,376,14.46,1,0,0,1,,,44,69.7,72.7,56.7,,33,
111,Chase Edmonds,ARI,RB,24,6,1,0,0,0,0,0,24,118,4.92,1,25,19,135,7.11,2,2,0,3,,,43,62.3,68.3,52.8,,33,
112,Michael Gallup,DAL,WR,24,6,6,0,0,0,0,0,0,0,,0,34,19,371,19.53,1,0,0,1,,,43,62.1,65.1,52.6,,35,
113,Tim Patrick,DEN,WR,27,5,5,0,0,0,0,0,0,0,,0,29,20,310,15.5,2,0,0,2,,,43,63,66,53,,36,
114,Preston Williams,MIA,WR,23,6,5,0,0,0,0,0,0,0,,0,25,12,213,17.75,3,0,0,3,2,,43,55.3,58.3,49.3,,34,
115,Rex Burkhead,NWE,RB,30,5,0,0,0,0,0,0,35,142,4.06,2,17,12,101,8.42,1,0,0,3,,,42,54.3,60.3,48.3,,34,
116,Christian Kirk,ARI,WR,24,5,5,0,0,0,0,0,1,3,3,0,24,13,240,18.46,3,1,0,3,,,42,55.3,58.3,48.8,,38,
117,Emmanuel Sanders,NOR,WR,33,5,2,0,0,0,0,0,0,0,,0,36,26,304,11.69,2,1,0,2,,,42,68.4,71.4,55.4,,37,
118,Brandon Aiyuk,SFO,WR,22,5,5,0,0,0,0,0,4,69,17.25,2,25,14,165,11.79,1,0,0,3,,,41,55.4,58.4,48.4,,39,
119,Latavius Murray,NOR,RB,30,5,2,0,0,0,0,0,52,218,4.19,2,8,6,68,11.33,0,0,0,2,,,41,46.6,49.6,43.6,,35,
120,Malcolm Brown,LAR,RB,27,6,0,0,0,0,0,0,55,217,3.95,2,18,12,62,5.17,0,0,0,2,,,40,51.9,54.9,45.9,,36,
121,Randall Cobb,HOU,WR,30,6,2,0,1,0,0,0,0,0,,0,28,22,277,12.59,2,0,0,2,,,40,61.7,64.7,50.7,,40,
122,Allen Lazard,GNB,WR,25,3,3,0,0,0,0,0,2,17,8.5,0,17,13,254,19.54,2,0,0,2,,,39,52.1,55.1,45.6,,43,
123,Laviska Shenault Jr.,JAX,WR,22,6,5,0,0,0,0,0,10,54,5.4,0,35,26,280,10.77,1,0,0,1,,,39,65.4,68.4,52.4,,42,
124,JuJu Smith-Schuster,PIT,WR,24,5,5,0,0,0,0,0,0,0,,0,28,23,194,8.43,3,0,0,3,1,,39,62.4,65.4,50.9,,41,
125,Davante Adams,GNB,WR,28,3,3,0,0,0,0,0,0,0,,0,30,23,253,11,2,0,0,2,,,37,60.3,63.3,48.8,,45,
126,Nelson Agholor,LVR,WR,27,5,2,0,0,0,0,0,0,0,,0,11,10,185,18.5,3,0,0,3,,,37,46.5,49.5,41.5,,46,
127,Mark Ingram,BAL,RB,31,6,6,0,0,0,0,0,50,225,4.5,2,5,3,25,8.33,0,0,0,2,,,37,40,43,38.5,,37,
128,Jarvis Landry,CLE,WR,28,6,6,1,1,37,1,0,0,0,,0,33,24,319,13.29,0,0,0,0,,,37,61.4,64.4,49.4,,44,
129,Alexander Mattison,MIN,RB,22,6,1,0,0,0,0,0,54,245,4.54,1,11,9,61,6.78,0,0,0,1,,,37,45.6,48.6,41.1,,38,
130,A.J. Brown,TEN,WR,23,3,2,0,0,0,0,0,0,0,,0,24,17,177,10.41,3,0,0,3,,,36,52.7,55.7,44.2,,47,
131,Noah Fant,DEN,TE,23,4,4,0,0,0,0,0,0,0,,0,27,19,219,11.53,2,0,0,2,1,,36,54.9,57.9,45.4,,14,
132,Dalton Schultz,DAL,TE,24,6,4,0,0,0,0,0,0,0,,0,36,23,260,11.3,2,1,1,2,,,36,59,63,47.5,,13,
133,J.K. Dobbins,BAL,RB,22,6,0,0,0,0,0,0,25,154,6.16,2,14,11,74,6.73,0,0,0,2,,,35,45.8,48.8,40.3,,39,
134,Russell Gage,ATL,WR,24,6,3,0,1,0,0,0,1,-2,-2,0,36,25,289,11.56,1,0,0,1,,,35,59.7,62.7,47.2,,48,
135,Nyheim Hines,IND,RB,24,6,0,0,0,0,0,0,26,81,3.12,1,27,23,146,6.35,1,0,0,2,,,35,57.7,60.7,46.2,,40,
136,Julian Edelman,NWE,WR,34,5,0,2,2,38,0,0,2,22,11,0,36,20,302,15.1,0,0,0,0,,,34,53.9,56.9,43.9,,50,
137,Kenny Golladay,DET,WR,27,3,3,0,0,0,0,0,0,0,,0,21,14,224,16,2,0,0,2,,,34,48.4,51.4,41.4,,49,
138,Mecole Hardman,KAN,WR,22,6,4,0,0,0,0,0,1,3,3,0,18,13,194,14.92,2,0,0,2,1,,34,46.7,49.7,40.2,,52,
139,Cedrick Wilson,DAL,WR,25,6,0,1,1,11,1,0,0,0,,0,20,14,173,12.36,2,0,0,2,,,34,47.7,50.7,40.7,,51,
140,Kendrick Bourne,SFO,WR,25,6,4,0,0,0,0,0,0,0,,0,29,17,271,15.94,1,0,0,1,,,33,50.1,53.1,41.6,,53,
141,Hunter Henry,LAC,TE,26,5,5,0,0,0,0,0,0,0,,0,35,22,268,12.18,1,0,0,1,,,33,54.8,57.8,43.8,,15,
142,Jerry Jeudy,DEN,WR,21,5,3,0,0,0,0,0,0,0,,0,33,17,266,15.65,1,1,0,1,,,33,49.6,52.6,41.1,,55,
143,Greg Ward,PHI,WR,25,6,4,0,0,0,0,0,1,-6,-6,0,34,24,191,7.96,2,2,0,2,1,,33,56.5,59.5,44.5,,56,
144,Sammy Watkins,KAN,WR,27,5,4,0,0,0,0,0,1,3,3,0,29,21,222,10.57,2,1,1,2,,,33,53.5,57.5,43,,57,
145,Mike Williams,LAC,WR,26,4,2,0,0,0,0,0,0,0,,0,22,12,209,17.42,2,0,0,2,,,33,44.9,47.9,38.9,,54,
146,Adam Humphries,TEN,WR,27,4,1,0,0,0,0,0,0,0,,0,26,21,200,9.52,2,0,0,2,,,32,53,56,42.5,,59,
147,Joshua Kelley,LAC,RB,23,5,0,0,0,0,0,0,63,203,3.22,1,8,8,93,11.63,0,2,2,1,,,32,39.6,44.6,35.6,,41,
148,Scott Miller,TAM,WR,23,6,4,0,0,0,0,0,2,7,3.5,0,23,16,256,16,1,0,0,1,,,32,48.3,51.3,40.3,,58,
149,Zach Pascal,IND,WR,26,6,6,0,0,0,0,0,0,0,,0,28,16,198,12.38,2,0,0,2,,,32,47.8,50.8,39.8,,60,
150,Mo Alie-Cox,IND,TE,27,5,2,0,0,0,0,0,0,0,,0,14,11,194,17.64,2,0,0,2,,,31,42.4,45.4,36.9,,16,
151,John Brown,BUF,WR,30,5,5,0,0,0,0,0,0,0,,0,27,14,194,13.86,2,0,0,2,,,31,45.4,48.4,38.4,,61,
152,Gabriel Davis,BUF,WR,21,6,2,0,0,0,0,0,1,0,0,0,18,14,194,13.86,2,0,0,2,,,31,45.4,48.4,38.4,,63,
153,David Moore,SEA,WR,25,5,3,0,0,0,0,0,1,12,12,0,14,10,173,17.3,2,1,0,2,,,31,40.5,43.5,35.5,,65,
154,Tre'Quan Smith,NOR,WR,24,5,4,0,0,0,0,0,0,0,,0,21,16,194,12.13,2,0,0,2,,,31,47.4,50.4,39.4,,62,
155,James Washington,PIT,WR,24,5,2,0,0,0,0,0,0,0,,0,26,17,185,10.88,2,0,0,2,,,31,47.5,50.5,39,,64,
156,Jeff Driskel,DEN,QB,27,3,1,35,64,432,3,2,6,28,4.67,0,0,0,0,,0,0,0,0,,1,30,30.1,35.1,32.1,,33,
157,Anthony Miller,CHI,WR,26,6,1,0,0,0,0,0,1,9,9,0,26,16,169,10.56,2,1,0,2,,,30,45.8,48.8,37.8,,68,
158,Hunter Renfrow,LVR,WR,25,5,0,0,0,0,0,0,0,0,,0,24,17,241,14.18,1,1,0,1,,,30,47.1,50.1,38.6,,67,
159,Marquez Valdes-Scantling,GNB,WR,26,5,3,0,0,0,0,0,0,0,,0,30,15,242,16.13,1,0,0,1,,,30,45.2,48.2,37.7,,66,
160,Jared Cook,NOR,TE,33,4,1,0,0,0,0,0,0,0,,0,18,11,166,15.09,2,0,0,2,,,29,39.6,42.6,34.1,,17,
161,Frank Gore,NYJ,RB,37,6,5,0,0,0,0,0,75,250,3.33,0,9,6,35,5.83,0,0,0,0,,,29,34.5,37.5,31.5,,42,
162,Jalen Guyton,LAC,WR,23,5,4,0,0,0,0,0,1,-4,-4,0,10,6,174,29,2,0,0,2,,,29,35,38,32,,69,
163,Gus Edwards,BAL,RB,25,6,0,0,0,0,0,0,48,218,4.54,1,3,0,0,,0,0,0,1,,,28,27.8,30.8,27.8,,45,
164,Leonard Fournette,TAM,RB,25,4,0,0,0,0,0,0,24,123,5.13,2,8,7,34,4.86,0,0,0,2,,,28,34.7,37.7,31.2,,46,
165,Devonta Freeman,NYG,RB,28,4,3,0,0,0,0,0,51,164,3.22,1,9,7,58,8.29,0,0,0,1,,,28,35.2,38.2,31.7,,43,
166,Rob Gronkowski,TAM,TE,31,6,6,0,0,0,0,0,0,0,,0,28,17,218,12.82,1,0,0,1,,,28,44.8,47.8,36.3,,18,
167,Brian Hill,ATL,RB,25,6,0,0,0,0,0,0,35,161,4.6,1,13,11,75,6.82,0,1,1,1,,,28,38.6,42.6,33.1,,47,
